STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,UNIT_MEASURE,Unit of measure,REF_AREA,Reference area,FREQ,Frequency,STATION,Weather Stations,CLIMATE_INDIC,Climate Indicators,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_COMMENT,Footnotes,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-01,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-02,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-03,,6,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-04,,3,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-05,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-06,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-07,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-08,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-09,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-10,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-11,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2016-12,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-01,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-02,,10,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-03,,14,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-04,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-05,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-06,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-07,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-08,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-09,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-10,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-11,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2017-12,,2,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-01,,2,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-02,,2,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-03,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-04,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-05,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-06,,4,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-07,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-08,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-09,,13,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-10,,2,,,,,,,,,
